Model Name,Simulation File Name,Legacy Simulation File Name,Simulation Fidelity,Simulation Method,Simulation Condition,Results Type,Results File Type,Simulation Creator,Notes
0006_H_AO_SVD,0006_H_AO_SVD_3D_RIGID_VTP.zip,0077_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,-
0006_H_AO_SVD,0006_H_AO_SVD_3D_RIGID_VTU.zip,0077_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
0050_H_CERE_H,0050_H_CERE_H_3D_RIGID_VTP.zip,0078_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Matthew Bockman,-
0050_H_CERE_H,0050_H_CERE_H_3D_RIGID_VTU.zip,0078_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Matthew Bockman,-
0051_H_CERE_H,0051_H_CERE_H_3D_RIGID_VTP.zip,0079_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Matthew Bockman,-
0051_H_CERE_H,0051_H_CERE_H_3D_RIGID_VTU.zip,0079_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Matthew Bockman,-
0078_H_PULM_H,0078_H_PULM_H_3D_RIGID_VTP.zip,0080_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0078_H_PULM_H,0078_H_PULM_H_3D_RIGID_VTU.zip,0080_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0079_H_PULM_H,0079_H_PULM_H_3D_RIGID_VTP.zip,0081_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0079_H_PULM_H,0079_H_PULM_H_3D_RIGID_VTU.zip,0081_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0080_H_PULM_H,0080_H_PULM_H_3D_RIGID_VTP.zip,0082_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0080_H_PULM_H,0080_H_PULM_H_3D_RIGID_VTU.zip,0082_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0081_H_PULM_PAH,0081_H_PULM_PAH_3D_RIGID_VTP.zip,0083_2002_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0081_H_PULM_PAH,0081_H_PULM_PAH_3D_RIGID_VTU.zip,0083_2002_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0082_H_PULM_H,0082_H_PULM_H_3D_RIGID_VTP.zip,0084_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0082_H_PULM_H,0082_H_PULM_H_3D_RIGID_VTU.zip,0084_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0083_H_PULM_PAH,0083_H_PULM_PAH_3D_RIGID_VTP.zip,0085_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0083_H_PULM_PAH,0083_H_PULM_PAH_3D_RIGID_VTU.zip,0085_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
