Model Name,Simulation File Name,Legacy Simulation File Name,Simulation Fidelity,Simulation Method,Simulation Condition,Results Type,Results File Type,Simulation Creator,Notes
0177_H_CORO_KD,0177_H_CORO_KD_3D_FSI_REST_VTP.zip,RCKD27_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0177_H_CORO_KD,0177_H_CORO_KD_3D_FSI_REST_VTU.zip,RCKD27_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0178_H_CORO_KD,0178_H_CORO_KD_3D_FSI_HYPER_VTP.zip,RCKD28_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0178_H_CORO_KD,0178_H_CORO_KD_3D_FSI_HYPER_VTU.zip,RCKD28_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0178_H_CORO_KD,0178_H_CORO_KD_3D_FSI_REST_VTP.zip,RCKD28_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0178_H_CORO_KD,0178_H_CORO_KD_3D_FSI_REST_VTU.zip,RCKD28_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0130_H_PULM_PAH,0130_H_PULM_PAH_3D_FSI_VTP.zip,SU0187_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0130_H_PULM_PAH,0130_H_PULM_PAH_3D_FSI_VTU.zip,SU0187_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0131_H_PULM_PAH,0131_H_PULM_PAH_3D_FSI_VTP.zip,SU0197_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0131_H_PULM_PAH,0131_H_PULM_PAH_3D_FSI_VTU.zip,SU0197_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0132_H_PULM_PAH,0132_H_PULM_PAH_3D_FSI_VTP.zip,SU0201_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0132_H_PULM_PAH,0132_H_PULM_PAH_3D_FSI_VTU.zip,SU0201_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0126_H_PULM_PAH,0126_H_PULM_PAH_3D_FSI_VTP.zip,SU0206_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0126_H_PULM_PAH,0126_H_PULM_PAH_3D_FSI_VTU.zip,SU0206_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0127_H_PULM_PAH,0127_H_PULM_PAH_3D_FSI_VTP.zip,SU0207_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0127_H_PULM_PAH,0127_H_PULM_PAH_3D_FSI_VTU.zip,SU0207_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0128_H_PULM_PAH,0128_H_PULM_PAH_3D_FSI_VTP.zip,SU0208_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0128_H_PULM_PAH,0128_H_PULM_PAH_3D_FSI_VTU.zip,SU0208_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0133_H_PULM_PAH,0133_H_PULM_PAH_3D_FSI_VTP.zip,SU0230_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0133_H_PULM_PAH,0133_H_PULM_PAH_3D_FSI_VTU.zip,SU0230_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0134_H_PULM_PAH,0134_H_PULM_PAH_3D_FSI_VTP.zip,SU0232_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0134_H_PULM_PAH,0134_H_PULM_PAH_3D_FSI_VTP.zip,SU0232_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0135_H_PULM_PAH,0135_H_PULM_PAH_3D_FSI_VTP.zip,SU0240_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0135_H_PULM_PAH,0135_H_PULM_PAH_3D_FSI_VTU.zip,SU0240_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0129_H_PULM_PAH,0129_H_PULM_PAH_3D_FSI_VTP.zip,SU0261_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Weiguang Yang,-
0129_H_PULM_PAH,0129_H_PULM_PAH_3D_FSI_VTU.zip,SU0261_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Average-Value,Volume (vtu),Weiguang Yang,-
0118_H_PULM_WS,0118_H_PULM_WS_3D_FSI_VTP.zip,WS1_SU0267_prestent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0118_H_PULM_WS,0118_H_PULM_WS_3D_FSI_VTU.zip,WS1_SU0267_prestent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0124_H_PULM_WS,0124_H_PULM_WS_3D_FSI_VTP.zip,WS1_SU0267_stent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0124_H_PULM_WS,0124_H_PULM_WS_3D_FSI_VTU.zip,WS1_SU0267_stent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0119_H_PULM_WS,0119_H_PULM_WS_3D_FSI_VTP.zip,WS2_SU0269_prestent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0119_H_PULM_WS,0119_H_PULM_WS_3D_FSI_VTU.zip,WS2_SU0269_prestent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0125_H_PULM_WS,0125_H_PULM_WS_3D_FSI_VTP.zip,WS2_SU0269_stent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0125_H_PULM_WS,0125_H_PULM_WS_3D_FSI_VTU.zip,WS2_SU0269_stent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
